Date	Workout Name	Duration	Exercise Name	Set Order	Weight	Reps	Distance	Seconds	RPE
2023-01-23 21:04:10	Evening Workout	48s	Bent Over Row - Underhand (Barbell)	1	10	10	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Bent Over Row - Underhand (Barbell)	2	10	10	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Bent Over Row - Underhand (Barbell)	3	10	10	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Lat Pulldown (Cable)	1	16.5	12	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Lat Pulldown (Cable)	2	13	12	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Pull Up (Assisted)	1	26	10	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Pull Up (Assisted)	2	26	10	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Pull Up (Assisted)	3	26	10	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Face Pull (Cable)	1	7.5	20	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Face Pull (Cable)	2	10	20	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Face Pull (Cable)	3	10	20	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Reverse Curl (Barbell)	1	12.5	20	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Reverse Curl (Barbell)	2	12.5	20	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Reverse Curl (Barbell)	3	12.5	20	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Bicep Curl (Barbell)	1	12.5	15	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Bicep Curl (Barbell)	2	12.5	15	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Bicep Curl (Barbell)	3	12.5	15	0	0	
2023-01-23 21:04:10	Evening Workout	48s	Bicep Curl (Dumbbell)	1	5	12	0	0	
2023-01-30 18:05:07	Pull 1	27h 37m	Bent Over Row - Underhand (Barbell)	1	10	10	0	0	
2023-01-30 18:05:07	Pull 1	27h 37m	Bent Over Row - Underhand (Barbell)	2	10	10	0	0	
2023-01-30 18:05:07	Pull 1	27h 37m	Bent Over Row - Underhand (Barbell)	3	10	10	0	0	
2023-01-30 18:05:07	Pull 1	27h 37m	Lat Pulldown (Cable)	1	16.5	12	0	0	
2023-01-30 18:05:07	Pull 1	27h 37m	Lat Pulldown (Cable)	2	13	12	0	0	
2023-01-30 18:05:07	Pull 1	27h 37m	Pull Up (Assisted)	1	19	10	0	0	
2023-01-30 18:05:07	Pull 1	27h 37m	Pull Up (Assisted)	2	19	10	0	0	
2023-01-30 18:05:07	Pull 1	27h 37m	Pull Up (Assisted)	3	19	10	0	0	
2023-01-31 21:47:34	Evening Workout	48h 27m	Bench Press (Barbell)	1	15	4	0	0	
2023-01-31 21:47:34	Evening Workout	48h 27m	Bench Press (Barbell)	2	13.75	4	0	0	
2023-01-31 21:47:34	Evening Workout	48h 27m	Bench Press (Barbell)	3	13.75	4	0	0	
2023-01-31 21:47:34	Evening Workout	48h 27m	Chest Dip (Assisted)	1	19	10	0	0	
2023-01-31 21:47:34	Evening Workout	48h 27m	Chest Dip (Assisted)	2	12	10	0	0	
2023-01-31 21:47:34	Evening Workout	48h 27m	Chest Dip (Assisted)	3	12	10	0	0	
2023-01-31 21:47:34	Evening Workout	48h 27m	Chest Fly (Band)	1	8.75	12	0	0	
2023-01-31 21:47:34	Evening Workout	48h 27m	Chest Fly (Band)	2	6.25	12	0	0	
2023-01-31 21:47:34	Evening Workout	48h 27m	Chest Fly (Band)	3	6.25	12	0	0	
2023-01-31 21:47:34	Evening Workout	48h 27m	Arnold Press (Dumbbell)	1	14	8	0	0	
2023-01-31 21:47:34	Evening Workout	48h 27m	Arnold Press (Dumbbell)	2	14	8	0	0	
2023-01-31 21:47:34	Evening Workout	48h 27m	Arnold Press (Dumbbell)	3	14	8	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Pull Up (Assisted)	1	0	5	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Pull Up (Assisted)	2	19	10	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Pull Up (Assisted)	3	19	8	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Chest Dip (Assisted)	1	0	5	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Chest Dip (Assisted)	2	19	10	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Chest Dip (Assisted)	3	19	10	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Lat Pulldown (Cable)	1	16.5	12	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Lat Pulldown (Cable)	2	13	12	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Lat Pulldown (Cable)	3	13	16	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Straight Arm Pull down 	1	10	13	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Straight Arm Pull down 	2	10	15	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Incline Bench Press (Dumbbell)	1	18	5	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Incline Bench Press (Dumbbell)	2	18	5	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Incline Bench Press (Dumbbell)	3	18	5	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Cable Crossover	1	3.75	8	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Cable Crossover	2	3.75	12	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Cable Crossover	3	3.75	12	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Seated Row (Cable)	1	13	12	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Seated Row (Cable)	2	16.5	9	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Seated Row (Cable)	3	16.5	10	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Push Up	1	0	2	0	0	
2023-03-29 18:09:49	Evening Workout	2h 24m	Push Up	2	0	0	0	0	
